case_id,institution_name,program_name,component_index,component_name,component_type,credits,hours,control_form,has_syllabus,syllabus_filename,resources
13346,,Документи акредитаційної справи,0,Пластична анатомія,навчальна дисципліна,,,,True,Plastychna anatomiia.pdf,"Мольберти (20 шт.), натурні підставки, гіпсові зліпки архітектурних античних фігур, гіпсові зліпки екорше, скелет фігури людини, моделі-макети м’язевої ситеми людини.
Система дистанційного навчання Mo"
13346,,Документи акредитаційної справи,1,Інформаційно-комунікаційні технології,навчальна дисципліна,,,,True,Informatsiino-komunikatsiini tekhnolohii.pdf,"Мультимедійний проектор Acer S1386WH, 2018 року виготовлення та 2019 року введення в експлуатацію, ремонту не потребує.
ПК DELL Computer T3500, Intel Xeon w3530, 4GB RAM, Nvidia Quadro 2000, HDD-WD250"
13346,,Документи акредитаційної справи,2,Кваліфікаційна робота,підсумкова атестація,,,,True,kvalifikatsiina robota.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Дозволяє забезпечити проведення занять з використанням авторських презентаційних навч"
13346,,Документи акредитаційної справи,3,Переддипломна практика,практика,,,,True,pereddyplomna praktyka.pdf,"Використання обладнання, устаткування баз практик."
13346,,Документи акредитаційної справи,4,Виробнича практика,практика,,,,True,Vyrobnycha praktyka.pdf,"Використання обладнання, устаткування баз практик."
13346,,Документи акредитаційної справи,5,Навчальна практика,практика,,,,True,Navchalna praktyka.pdf,"Використання обладнання, устаткування баз практик."
13346,,Документи акредитаційної справи,6,Курсова робота з дизайн-проєктування,курсова робота (проект),,,,True,Kursova robota z dyzain-proiektuvannia.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Дозволяє забезпечити проведення занять з використанням авторських презентаційних навч"
13346,,Документи акредитаційної справи,7,Декоративно-прикладне мистецтво,навчальна дисципліна,,,,True,Dekoratyvno-prykladne mystetstvo.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Комп’ютер на процесорі Intel (R) Pentium(R) Gold G6405 4.106GHr/DDR4 4Гб/ SSD480.1Gb)"
13346,,Документи акредитаційної справи,8,Організація підприємноцької діяльності в сфері культури,навчальна дисципліна,,,,True,Orhanizatsiia pidpryiemnytskoi diialnosti.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Комп’ютер на процесорі Intel (R) Pentium(R) Gold G6405 4.106GHr/DDR4 4Гб/ SSD480.1Gb)"
13346,,Документи акредитаційної справи,9,Кваліфікаційне проєктування,навчальна дисципліна,,,,True,Kvalifikatsiine proektuvannia.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Дозволяє забезпечити проведення занять з використанням авторських презентаційних навч"
13346,,Документи акредитаційної справи,10,Художнє конструювання,навчальна дисципліна,,,,True,Khudozhnie konstruiuvannia.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Дозволяє забезпечити проведення занять з використанням авторських презентаційних навч"
13346,,Документи акредитаційної справи,11,Ілюстрація,навчальна дисципліна,,,,True,lliustratsiia.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Дозволяє забезпечити проведення занять з використанням авторських презентаційних навч"
13346,,Документи акредитаційної справи,12,Нарисна геометрія,навчальна дисципліна,,,,True,Narysna heometriia.pdf,"Дошки для креслення та малювання, планшети. 
Проектор ViewSonic PJ 7223 (1 шт.) рік введення в експлуатацію 2019 рік, ремонтних робіт не проводилось.
Настінний екран.
Система дистанційного навчання Mo"
13346,,Документи акредитаційної справи,13,3D-моделювання,навчальна дисципліна,,,,True,3D modeliuvannia.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Дозволяє забезпечити проведення занять з використанням авторських презентаційних навч"
13346,,Документи акредитаційної справи,14,Композиція в дизайні,навчальна дисципліна,,,,True,Kompozytsiia v dyzaini.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Комп’ютер на процесорі Intel (R) Pentium(R) Gold G6405 4.106GHr/DDR4 4Гб/ SSD480.1Gb)"
13346,,Документи акредитаційної справи,15,Скульптура,навчальна дисципліна,,,,True,Skulptura.pdf,"Ванни для глини, Скульптурні станки, натурні підставки, гіпсові зліпки архітектурних деталей та античних фігур, натурний фонд, гіпсові зліпки екорше, скелет фігури людини, моделі-макети м’язевої ситем"
13346,,Документи акредитаційної справи,16,Дизайн-проєктування,навчальна дисципліна,,,,True,Dyzaіn-proektuvannia.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Дозволяє забезпечити проведення занять з використанням авторських презентаційних навч"
13346,,Документи акредитаційної справи,17,Креслення,навчальна дисципліна,,,,True,Kreslennia.pdf,"Дошки для креслення та малювання, планшети. 
Проектор ViewSonic PJ 7223 (1 шт.) рік введення в експлуатацію 2019 рік, ремонтних робіт не проводилось.
Настінний екран.
Система дистанційного навчання Mo"
13346,,Документи акредитаційної справи,18,Українська мова за професійним спрямуванням,навчальна дисципліна,,,,True,Ukrainska mova za profesiynym spriamuvanniam.pdf,"Мультимедійний проектор Epson EB-505 (1 шт.), рік виготовлення 2019, рік ведення в експлуатацію 2019. Ремонту не потребує.
Інтерфейс: USB 2.0 Type A, USB 2.0 Type B, VGA in, HDMI in, Composite in, Cin"
13346,,Документи акредитаційної справи,19,Історія державності та культури України,навчальна дисципліна,,,,True,Istoriia derzhavnosti ta kultury.pdf,"Мультимедійний проектор Epson EB-505 (1 шт.), рік виготовлення 2019, рік ведення в експлуатацію 2019. Ремонту не потребує.
Інтерфейс: USB 2.0 Type A, USB 2.0 Type B, VGA in, HDMI in, Composite in, Cin"
13346,,Документи акредитаційної справи,20,Фізичне виховання,навчальна дисципліна,,,,True,Fizychne vykhovannia.pdf,"Крита спортивна споруда(спортзал №2. вул. Львівська, територія ЗУНУ) – фізкультурно-оздоровчий комплекс з тренажерним залом для ЗФП, ігровий зал для гри в баскетбол, волейбол, приміщення для гри в нас"
13346,,Документи акредитаційної справи,21,Іноземна мова,навчальна дисципліна,,,,True,Inozemna mova (anhliiska).pdf,"Мультимедійний проектор Epson EB-S05 (1 шт.), рік виготовлення 2019, рік ведення в експлуатацію 2019. Ремонту не потребує.
Інтерфейс: USB 2.0 Type A, USB 2.0 Type B, VGA in, HDMI in, Composite in, Cin"
13346,,Документи акредитаційної справи,22,Філософія,навчальна дисципліна,,,,True,Filosofiia.pdf,"Мультимедійний проектор Epson EB-505 (1 шт.), рік виготовлення 2019, рік ведення в експлуатацію 2019. Ремонту не потребує.
Інтерфейс: USB 2.0 Type A, USB 2.0 Type B, VGA in, HDMI in, Composite in, Cin"
13346,,Документи акредитаційної справи,23,Політологія,навчальна дисципліна,,,,True,Politolohiia.pdf,"Мультимедійний проектор Epson EB-505 (1 шт.), рік виготовлення 2019, рік ведення в експлуатацію 2019. Ремонту не потребує.
Інтерфейс: USB 2.0 Type A, USB 2.0 Type B, VGA in, HDMI in, Composite in, Cin"
13346,,Документи акредитаційної справи,24,Міжкультурні комунікації,навчальна дисципліна,,,,True,Mizhkulturni komunikatsii.pdf,"Мультимедійний проектор Epson EB-505 (1 шт.), рік виготовлення 2019, рік ведення в експлуатацію 2019. Ремонту не потребує.
Інтерфейс: USB 2.0 Type A, USB 2.0 Type B, VGA in, HDMI in, Composite in, Cin"
13346,,Документи акредитаційної справи,25,Історія мистецтва,навчальна дисципліна,,,,True,Istoriia mystetstva.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Комп’ютер на процесорі Intel (R) Pentium(R) Gold G6405 4.106GHr/DDR4 4Гб/ SSD480.1Gb)"
13346,,Документи акредитаційної справи,26,Рисунок,навчальна дисципліна,,,,True,Rysunok.pdf,"Мольберти (20 шт.), натурні підставки, гіпсові зліпки архітектурних деталей та античних фігур, натурний фонд.
Система дистанційного навчання Moodle, програма для організації відеоконференцій Zoom."
13346,,Документи акредитаційної справи,27,Живопис (1 курс),навчальна дисципліна,,,,True,zhyvopys1kurs.pdf,"Мольберти (20 шт.), натурні підставки, гіпсові зліпки архітектурних деталей та античних фігур, натурний фонд.
Система дистанційного навчання Moodle, програма для організації відеоконференцій Zoom."
13346,,Документи акредитаційної справи,28,Живопис (2 курс),навчальна дисципліна,,,,True,zhyvopys2kurs.pdf,"Мольберти (20 шт.), натурні підставки, гіпсові зліпки архітектурних деталей та античних фігур, натурний фонд.
Система дистанційного навчання Moodle, програма для організації відеоконференцій Zoom."
13346,,Документи акредитаційної справи,29,Комп’ютерна графіка та анімація,навчальна дисципліна,,,,True,Kompiuterna hrafika ta animatsiia.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Дозволяє забезпечити проведення занять з використанням авторських презентаційних навч"
13346,,Документи акредитаційної справи,30,Композиція та кольорознавство,навчальна дисципліна,,,,True,Kompozytsiia ta koloroznavstvo.pdf,"Проектор EpsonEB-505 (1 шт.), введення в експлуатацію - 2020 рік, ремонтних робіт не проводилось.
Настінний екран.
Комп’ютер на процесорі Intel (R) Pentium(R) Gold G6405 4.106GHr/DDR4 4Гб/ SSD480.1Gb)"
15277,,Документи акредитаційної справи,0,"Безпека життєдіяльності (безпека життєдіяльності, основи охорони праці та цивільний захист)",навчальна дисципліна,,,,True,"Безпека життєдіяльності (безпека життєдіяльності, основи охорони праці та цивільний захист).pdf","Аудиторія з мультимедійним обладнанням.
Платформа дистанційного навчання https://moodle3.chmnu.edu.ua/"
15277,,Документи акредитаційної справи,1,Фізичне виховання,навчальна дисципліна,,,,True,Фізичне виховання.pdf,"Спортивний зал, водна станція ЧНУ імені Петра Могили"
15277,,Документи акредитаційної справи,2,Предатестаційна практика,практика,,,,True,Передатестаційна практика.pdf,"Обладнання: ноутбук  з підключенням до мережі Інтернет, проєктор.
Платформа дистанційного навчання https://moodle3.chmnu.edu.ua/"
15277,,Документи акредитаційної справи,3,Кваліфікаційна робота,підсумкова атестація,,,,True,Кваліфікаційна_робота_Методичні_рекомендації_2025.pdf,"Обладнання: ноутбук  з підключенням до мережі Інтернет, проєктор.
Програмне забезпечення: сервіс для перевірки на унікальність
Платформа дистанційного навчання https://moodle3.chmnu.edu.ua/"
15277,,Документи акредитаційної справи,4,Дизайн-проєктування (2 курс),навчальна дисципліна,,,,True,Дизайн-проєктування  (2 курс).pdf,"Обладнання: комп’ютери (AMD Ryzen 5 5600, RAM 16 Гбайт, SSD 512 Гбайт) з підключенням до мережі Інтернет, монітори 24’’, введення в експлуатацію – 2023 р.; інтерактивна панель 50’’
Програмне забезпече"
15277,,Документи акредитаційної справи,5,Дизайн-проєктування (3 курс),навчальна дисципліна,,,,True,Дизайн-проєктування (3 курс).pdf,"Обладнання: комп’ютери (AMD Ryzen 5 5600, RAM 16 Гбайт, SSD 512 Гбайт) з підключенням до мережі Інтернет, монітори 24’’, введення в експлуатацію – 2023 р.; інтерактивна панель 50’’
Програмне забезпече"
