week,Presence,Agency,Embodiment,Cognitive load mgmt,Motivation,Self-regulation
1,2.0,2.0,8.0,6.0,10.0,4.0
2,0.0,0.0,10.3,1.7,6.9,3.4
3,0.0,4.8,19.0,1.6,6.3,6.3
4,0.0,11.4,2.9,3.8,7.6,2.9
5,0.0,11.4,2.9,3.8,7.6,2.9
6,0.0,2.8,1.9,3.7,4.6,3.7
7,0.0,2.8,1.9,3.7,4.6,3.7
8,0.0,2.0,47.1,7.8,9.8,3.9
9,0.0,8.8,39.7,4.4,7.4,10.3
10,2.4,2.4,9.8,7.3,2.4,12.2
11,3.4,0.0,5.2,3.4,6.9,0.0
12,0.0,4.0,6.0,8.0,2.0,4.0
13,0.0,0.0,9.3,1.9,9.3,0.0
15,0.0,10.7,12.5,7.1,5.4,1.8
16,0.0,4.5,2.3,5.3,5.3,3.0
17,0.0,4.5,2.3,5.3,5.3,3.0
18,0.0,2.7,4.5,2.7,4.5,1.8
