question_num,question_text,option,count
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Так,0
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Скоріше так,11
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Скоріше ні,9
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Ні,7
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Важко відповісти,4
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Не той фах обрав(ла),1
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) більш сучасний рівень викладання,23
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для реалізації своїх здібностей,21
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для навчання,16
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для відпочинку,7
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для міжнародних контактів,3
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Так,1
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Частково,21
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Ні,7
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Важко відповісти,2
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,"Так, обов’язково",17
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,Якщо трапиться така нагода,11
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,Ні,2
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,Важко відповісти,1
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Відмінно,0
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Добре,7
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Задовільно,13
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Погано,2
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Важко відповісти,9
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Так,10
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Частково,17
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Ні,3
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Важко відповісти,1
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Так,7
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Частково,13
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Ні,7
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Важко відповісти,4
12,Чи задовольняє Вас рівень організації та зміст практик?,Так,10
12,Чи задовольняє Вас рівень організації та зміст практик?,Частково,14
12,Чи задовольняє Вас рівень організації та зміст практик?,Ні,4
12,Чи задовольняє Вас рівень організації та зміст практик?,Важко відповісти,3
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Так,7
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Частково,18
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Ні,2
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Важко відповісти,4
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног","Оптимальне, часу вистачає на опрацювання навчального навантаження",14
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног","Наявне перевантаження, часу на опрацювання навчального матеріалу не вистачає",12
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног","Навчального матеріалу замало, оскільки є вільний час",1
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног",Важко відповісти,4
18,"Чи знайомі Ви з процедурами визнання результатів навчання, отриманих в інших зак",Так,18
18,"Чи знайомі Ви з процедурами визнання результатів навчання, отриманих в інших зак",Ні,13
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Так,4
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Частково,22
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Ні,3
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Важко відповісти,2
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров","Так, цілком погоджуюся",0
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров",Скоріше погоджуюся,11
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров",Скоріше не погоджуюся,6
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров","Ні, не погоджуюся",1
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров",Важко відповісти,13
22,"Чи знайомитеся Ви на початку семестру з програмами або силабусами дисциплін, які",Так,23
22,"Чи знайомитеся Ви на початку семестру з програмами або силабусами дисциплін, які",Ні,8
23,"Чи знаєте Ви, де на офіційному сайті університету та в СУЕНК університету розміщ",Так,19
23,"Чи знаєте Ви, де на офіційному сайті університету та в СУЕНК університету розміщ",Ні,12
24,Чи знайомі Ви з порядком та критеріями оцінювання з освітніх компонентів (навчал,"Так, з усіх компонентів",10
24,Чи знайомі Ви з порядком та критеріями оцінювання з освітніх компонентів (навчал,Частково,21
24,Чи знайомі Ви з порядком та критеріями оцінювання з освітніх компонентів (навчал,Ні,0
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку","Як правило, на початку вивчення дисципліни",13
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Переважно в процесі вивчення дисципліни,10
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Дуже часто наприкінці вивчення дисципліни,2
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Не надають,1
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Важко відповісти,5
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,"Так, постійно",1
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,Час від часу,20
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,"Ні, не залучаються зовсім",4
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,Важко відповісти,6
27,Чи володієте Ви інформацією про програми міжнародної академічної мобільності?,Так,0
27,Чи володієте Ви інформацією про програми міжнародної академічної мобільності?,Частково,5
27,Чи володієте Ви інформацією про програми міжнародної академічної мобільності?,Ні,26
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,Так,2
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,"Скоріше так, ніж ні",15
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,"Скоріше ні, ніж так",5
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,Ні,2
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,Важко відповісти,7
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,Так,5
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,"Скоріше так, ніж ні",17
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,"Скоріше ні, ніж так",0
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,Ні,2
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,Важко відповісти,7
30,Чи зіштовхувалися Ви з необ’єктивністю оцінювання Ваших знань ?,Так,18
30,Чи зіштовхувалися Ви з необ’єктивністю оцінювання Ваших знань ?,Ні,13
31,"Чи знайомі Ви з процедурою оскарження результатів заліків, екзаменів?",Так,7
31,"Чи знайомі Ви з процедурою оскарження результатів заліків, екзаменів?",Частково,10
31,"Чи знайомі Ви з процедурою оскарження результатів заліків, екзаменів?",Ні,14
33,"Чи знайомі Ви з політикою, стандартами й процедурами дотримання академічної добр",Так,13
33,"Чи знайомі Ви з політикою, стандартами й процедурами дотримання академічної добр",Частково,11
