question_num,question_text,response
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Соціально-політисні студії
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Економика
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","Філософія,Інженерна графіка"
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","Физ.культура, економика, социология, академ живопись и графика"
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","физкультура, философия, укр-мова, экономика"
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","Економика, философия<br />"
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","Логіка, Естетика, Економіка та ін. подібні предмети"
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Социология
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Філософія
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","Так, філософія, медецина."
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","є ті дисципліни, які я вважаю важливими для розвитку людини і фахівця, АЛЕ їх немає у програмі."
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","Філософия, Креслення і т.д."
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","corel draw, Инженерная графика."
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Так
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Ні
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Ні
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","Економіка, академ. письмо, інженерна графіка"
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","Актуальні проблеми української історії та культури; 
<br />Українська мова за професійним спрямуванням; 
<br />Соціально-політичні студії; 
<br />Основи медичних знань і безпеки життєдіяльності;
<br />Соціологія сім’ї та шлюбу;
<br />Основи етнодизайну."
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Шрифты, КТД, История искусств"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,Усі
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Дизайн проектирование, ктд, композиция"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Малюнок, живопис, композиція, Проектна графіка, інженерна графіка, шрифт."
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,Комп'ютерні технології в дизайні
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,Проэктна графіка
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,Фахові дисципліни
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Основи зовнішньої реклами, основи етнодизайну, КТД, живопис, рисунок"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Живопис ,Рмсунок,Проектна графіка"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Комплексне проектування в рекламі, основи зовнішньої реклами, комп'ютерні технології в дизайні"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,Ктд
