question_num,question_text,option,count
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Так,1
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Скоріше так,6
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Скоріше ні,1
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Ні,0
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Важко відповісти,4
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Не той фах обрав(ла),2
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) більш сучасний рівень викладання,6
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для реалізації своїх здібностей,5
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для навчання,4
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для відпочинку,2
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для міжнародних контактів,2
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Так,2
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Частково,10
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Ні,0
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Важко відповісти,0
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,"Так, обов’язково",4
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,Якщо трапиться така нагода,6
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,Ні,0
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,Важко відповісти,2
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Відмінно,0
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Добре,4
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Задовільно,7
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Погано,0
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Важко відповісти,1
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Так,4
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Частково,4
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Ні,0
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Важко відповісти,4
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Так,7
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Частково,3
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Ні,0
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Важко відповісти,2
12,Чи задовольняє Вас рівень організації та зміст практик?,Так,2
12,Чи задовольняє Вас рівень організації та зміст практик?,Частково,7
12,Чи задовольняє Вас рівень організації та зміст практик?,Ні,0
12,Чи задовольняє Вас рівень організації та зміст практик?,Важко відповісти,3
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Так,7
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Частково,3
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Ні,0
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Важко відповісти,2
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног","Оптимальне, часу вистачає на опрацювання навчального навантаження",2
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног","Наявне перевантаження, часу на опрацювання навчального матеріалу не вистачає",9
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног","Навчального матеріалу замало, оскільки є вільний час",0
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног",Важко відповісти,1
18,"Чи знайомі Ви з процедурами визнання результатів навчання, отриманих в інших зак",Так,8
18,"Чи знайомі Ви з процедурами визнання результатів навчання, отриманих в інших зак",Ні,4
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Так,2
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Частково,7
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Ні,1
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Важко відповісти,2
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров","Так, цілком погоджуюся",1
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров",Скоріше погоджуюся,4
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров",Скоріше не погоджуюся,2
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров","Ні, не погоджуюся",0
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров",Важко відповісти,5
22,"Чи знайомитеся Ви на початку семестру з програмами або силабусами дисциплін, які",Так,9
22,"Чи знайомитеся Ви на початку семестру з програмами або силабусами дисциплін, які",Ні,3
23,"Чи знаєте Ви, де на офіційному сайті університету та в СУЕНК університету розміщ",Так,9
23,"Чи знаєте Ви, де на офіційному сайті університету та в СУЕНК університету розміщ",Ні,3
24,Чи знайомі Ви з порядком та критеріями оцінювання з освітніх компонентів (навчал,"Так, з усіх компонентів",3
24,Чи знайомі Ви з порядком та критеріями оцінювання з освітніх компонентів (навчал,Частково,8
24,Чи знайомі Ви з порядком та критеріями оцінювання з освітніх компонентів (навчал,Ні,1
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку","Як правило, на початку вивчення дисципліни",5
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Переважно в процесі вивчення дисципліни,6
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Дуже часто наприкінці вивчення дисципліни,1
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Не надають,0
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Важко відповісти,0
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,"Так, постійно",1
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,Час від часу,9
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,"Ні, не залучаються зовсім",0
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,Важко відповісти,2
27,Чи володієте Ви інформацією про програми міжнародної академічної мобільності?,Так,1
27,Чи володієте Ви інформацією про програми міжнародної академічної мобільності?,Частково,5
27,Чи володієте Ви інформацією про програми міжнародної академічної мобільності?,Ні,6
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,Так,1
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,"Скоріше так, ніж ні",4
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,"Скоріше ні, ніж так",2
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,Ні,0
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,Важко відповісти,5
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,Так,1
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,"Скоріше так, ніж ні",5
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,"Скоріше ні, ніж так",1
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,Ні,0
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,Важко відповісти,5
30,Чи зіштовхувалися Ви з необ’єктивністю оцінювання Ваших знань ?,Так,7
30,Чи зіштовхувалися Ви з необ’єктивністю оцінювання Ваших знань ?,Ні,5
31,"Чи знайомі Ви з процедурою оскарження результатів заліків, екзаменів?",Так,0
31,"Чи знайомі Ви з процедурою оскарження результатів заліків, екзаменів?",Частково,3
31,"Чи знайомі Ви з процедурою оскарження результатів заліків, екзаменів?",Ні,9
33,"Чи знайомі Ви з політикою, стандартами й процедурами дотримання академічної добр",Так,4
33,"Чи знайомі Ви з політикою, стандартами й процедурами дотримання академічної добр",Частково,8
33,"Чи знайомі Ви з політикою, стандартами й процедурами дотримання академічної добр",Ні,0
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Так,4
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Скоріше так,4
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Скоріше ні,1
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Ні,0
