question_num,question_text,response
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Фізична культура
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Философия
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Макетування
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Забагато різних історій. Економіка
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Немає
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",ні
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","фізична культура, основи академічного письма"
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",фiзичне виховання
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Философия
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"По спеціальності. Такі як комплексне проектування, ктд, окмо, тодо, композиція, рисунок і живопис..."
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"ОКМО,ТОДО"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,Дисципліни які відповідають та є потребними для майбутньої спеціалізації
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,всі
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,Проектування одягу
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,ОКМО ТОДО
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"ОКМО (дуже шкода, що, починаючи з 3го курсу, ми не вивчаємо цю дисципліну, хоба вона дуже важлива саме для спеціальності дизайну одягу), ТОДО, живопис, рисунок, історія костюма (також прикро, що ця дисципліна була лише у 1му семестрі на 1му курсі)"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"ОКМО 
<br />ТОДО"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"ОКМО,ТОДО, малюнок, живопис"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"ОКМО , ТОДО , живопыс та рысунок"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Малюнок, живопис"
9,Які дисципліни Ви хотіли би бачити в переліку вибіркових? Напишіть.,важко відповісти
9,Які дисципліни Ви хотіли би бачити в переліку вибіркових? Напишіть.,"будь-які, що стосуються моєї спеціальності"
9,Які дисципліни Ви хотіли би бачити в переліку вибіркових? Напишіть.,психологiя
9,Які дисципліни Ви хотіли би бачити в переліку вибіркових? Напишіть.,Не знаю
