question_num,question_text,option,count
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Так,1
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Скоріше так,5
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Скоріше ні,7
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Ні,2
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,Важко відповісти,3
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Не той фах обрав(ла),0
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) більш сучасний рівень викладання,12
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для реалізації своїх здібностей,9
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для навчання,10
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для відпочинку,2
2,"Якщо якісь очікування не справдилися, то які саме? (оберіть не більше 3-х відпов",Очікував(ла) кращі умови для міжнародних контактів,3
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Так,2
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Частково,12
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Ні,3
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,Важко відповісти,1
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,"Так, обов’язково",6
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,Якщо трапиться така нагода,10
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,Ні,1
4,Чи плануєте Ви в майбутньому працювати за здобутою кваліфікацією?,Важко відповісти,1
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Відмінно,0
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Добре,7
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Задовільно,8
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Погано,0
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,Важко відповісти,3
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Так,3
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Частково,11
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Ні,2
8,Чи задовольняє Вас перелік вибіркових дисциплін?,Важко відповісти,2
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Так,6
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Частково,7
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Ні,4
10,Чи задовольняє Вас підхід до вибору варіативних дисциплін і спосіб формування гр,Важко відповісти,1
12,Чи задовольняє Вас рівень організації та зміст практик?,Так,1
12,Чи задовольняє Вас рівень організації та зміст практик?,Частково,12
12,Чи задовольняє Вас рівень організації та зміст практик?,Ні,4
12,Чи задовольняє Вас рівень організації та зміст практик?,Важко відповісти,1
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Так,7
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Частково,8
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Ні,2
13,"Чи є корисними практики для формування Ваших професійних компетентностей, навичо",Важко відповісти,1
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног","Оптимальне, часу вистачає на опрацювання навчального навантаження",4
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног","Наявне перевантаження, часу на опрацювання навчального матеріалу не вистачає",13
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног","Навчального матеріалу замало, оскільки є вільний час",0
16,"Як би Ви оцінили співвідношення обсягу навчального матеріалу та часу, відведеног",Важко відповісти,1
18,"Чи знайомі Ви з процедурами визнання результатів навчання, отриманих в інших зак",Так,10
18,"Чи знайомі Ви з процедурами визнання результатів навчання, отриманих в інших зак",Ні,8
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Так,1
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Частково,17
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Ні,0
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,Важко відповісти,0
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров","Так, цілком погоджуюся",4
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров",Скоріше погоджуюся,6
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров",Скоріше не погоджуюся,3
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров","Ні, не погоджуюся",1
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров",Важко відповісти,4
22,"Чи знайомитеся Ви на початку семестру з програмами або силабусами дисциплін, які",Так,12
22,"Чи знайомитеся Ви на початку семестру з програмами або силабусами дисциплін, які",Ні,6
23,"Чи знаєте Ви, де на офіційному сайті університету та в СУЕНК університету розміщ",Так,11
23,"Чи знаєте Ви, де на офіційному сайті університету та в СУЕНК університету розміщ",Ні,7
24,Чи знайомі Ви з порядком та критеріями оцінювання з освітніх компонентів (навчал,"Так, з усіх компонентів",6
24,Чи знайомі Ви з порядком та критеріями оцінювання з освітніх компонентів (навчал,Частково,9
24,Чи знайомі Ви з порядком та критеріями оцінювання з освітніх компонентів (навчал,Ні,3
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку","Як правило, на початку вивчення дисципліни",8
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Переважно в процесі вивчення дисципліни,8
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Дуже часто наприкінці вивчення дисципліни,1
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Не надають,0
25,"Коли викладачі надають Вам інформацію щодо змісту, результатів навчання, порядку",Важко відповісти,1
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,"Так, постійно",1
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,Час від часу,10
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,"Ні, не залучаються зовсім",5
26,Чи залучаються студенти і Ви зокрема до науково-дослідницької роботи?,Важко відповісти,2
27,Чи володієте Ви інформацією про програми міжнародної академічної мобільності?,Так,0
27,Чи володієте Ви інформацією про програми міжнародної академічної мобільності?,Частково,1
27,Чи володієте Ви інформацією про програми міжнародної академічної мобільності?,Ні,17
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,Так,0
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,"Скоріше так, ніж ні",8
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,"Скоріше ні, ніж так",4
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,Ні,1
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,Важко відповісти,5
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,Так,3
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,"Скоріше так, ніж ні",8
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,"Скоріше ні, ніж так",1
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,Ні,0
29,Чи завжди забезпечується об’єктивність і неупередженість екзаменаторів?,Важко відповісти,6
30,Чи зіштовхувалися Ви з необ’єктивністю оцінювання Ваших знань ?,Так,8
30,Чи зіштовхувалися Ви з необ’єктивністю оцінювання Ваших знань ?,Ні,10
31,"Чи знайомі Ви з процедурою оскарження результатів заліків, екзаменів?",Так,3
31,"Чи знайомі Ви з процедурою оскарження результатів заліків, екзаменів?",Частково,5
31,"Чи знайомі Ви з процедурою оскарження результатів заліків, екзаменів?",Ні,10
33,"Чи знайомі Ви з політикою, стандартами й процедурами дотримання академічної добр",Так,5
33,"Чи знайомі Ви з політикою, стандартами й процедурами дотримання академічної добр",Частково,7
33,"Чи знайомі Ви з політикою, стандартами й процедурами дотримання академічної добр",Ні,6
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Так,5
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Скоріше так,10
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Скоріше ні,1
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Ні,0
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Важко відповісти,2
35,"Чи можете Ви сказати, що Ваші стосунки з викладачами загалом мають доброзичливий",Так,6
35,"Чи можете Ви сказати, що Ваші стосунки з викладачами загалом мають доброзичливий",Скоріше так,9
35,"Чи можете Ви сказати, що Ваші стосунки з викладачами загалом мають доброзичливий",Скоріше ні,0
35,"Чи можете Ви сказати, що Ваші стосунки з викладачами загалом мають доброзичливий",Ні,0
35,"Чи можете Ви сказати, що Ваші стосунки з викладачами загалом мають доброзичливий",Важко відповісти,3
36,"Чи вважаєте Ви доцільним залучати до освітнього процесу професіоналів-практиків,",Так,10
36,"Чи вважаєте Ви доцільним залучати до освітнього процесу професіоналів-практиків,",Лише для опрацювання деяких тем,6
36,"Чи вважаєте Ви доцільним залучати до освітнього процесу професіоналів-практиків,",Ні,0
36,"Чи вважаєте Ви доцільним залучати до освітнього процесу професіоналів-практиків,",Важко відповісти,2
37,Чи задоволені Ви рівнем матеріально-технічного забезпечення навчання на освітній,Так,3
37,Чи задоволені Ви рівнем матеріально-технічного забезпечення навчання на освітній,Частково,8
37,Чи задоволені Ви рівнем матеріально-технічного забезпечення навчання на освітній,Ні,6
37,Чи задоволені Ви рівнем матеріально-технічного забезпечення навчання на освітній,Важко відповісти,1
39,Чи задоволені Ви рівнем інформаційного та навчально-методичного забезпечення нав,Так,5
39,Чи задоволені Ви рівнем інформаційного та навчально-методичного забезпечення нав,Частково,12
39,Чи задоволені Ви рівнем інформаційного та навчально-методичного забезпечення нав,Ні,1
39,Чи задоволені Ви рівнем інформаційного та навчально-методичного забезпечення нав,Важко відповісти,0
41,"Чи задоволені Ви рівнем організаційної, інформаційної, соціальної, консультаційн",Так,4
41,"Чи задоволені Ви рівнем організаційної, інформаційної, соціальної, консультаційн",Частково,13
41,"Чи задоволені Ви рівнем організаційної, інформаційної, соціальної, консультаційн",Ні,0
41,"Чи задоволені Ви рівнем організаційної, інформаційної, соціальної, консультаційн",Важко відповісти,1
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Куратор групи,6
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Деканат,0
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Викладачі,5
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Одногрупники,12
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Батьки,12
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Друзі,11
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Студентське самоврядування,1
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Підтримка не надається,0
43,Чи добре Ви знайомі з діяльністю Молодіжного центру університету?,Так,2
43,Чи добре Ви знайомі з діяльністю Молодіжного центру університету?,Тільки чув(ла) про його існування,10
43,Чи добре Ви знайомі з діяльністю Молодіжного центру університету?,Ні,6
44,Чи знайомі Ви з діяльністю психологічної служби університету?,Так,1
44,Чи знайомі Ви з діяльністю психологічної служби університету?,Тільки чув(ла) про її існування,5
44,Чи знайомі Ви з діяльністю психологічної служби університету?,Ні,12
45,"Чи поінформовані Ви про процедури врегулювання конфліктних ситуацій (зокрема, пр",Так,4
45,"Чи поінформовані Ви про процедури врегулювання конфліктних ситуацій (зокрема, пр",Частково,8
45,"Чи поінформовані Ви про процедури врегулювання конфліктних ситуацій (зокрема, пр",Ні,6
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,До куратора групи,17
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,До декана факультету,10
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,У навчально-методичний відділ,2
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,До проректора університету,0
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,До ректора університету,1
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,До Міністерства освіти і науки України,3
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,На гарячу лінію МОН або виконавчої влади,1
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,"Ні до кого, буду самостійно розв’язувати конфлікт",4
47,"Чи залучаються студенти, зокрема студентське самоврядування, до перегляду освітн",Так,2
47,"Чи залучаються студенти, зокрема студентське самоврядування, до перегляду освітн",Час від часу,5
47,"Чи залучаються студенти, зокрема студентське самоврядування, до перегляду освітн",Ні,4
47,"Чи залучаються студенти, зокрема студентське самоврядування, до перегляду освітн",Важко відповісти,7
48,Чи подавали Ви або Ваші одногрупники пропозиції щодо перегляду освітньої програм,Так,0
48,Чи подавали Ви або Ваші одногрупники пропозиції щодо перегляду освітньої програм,Ні,12
48,Чи подавали Ви або Ваші одногрупники пропозиції щодо перегляду освітньої програм,Не знаю,6
49,"Чи вважаєте Ви освітню програму, за якою навчаєтеся, актуальною, затребуваною, т",Так,1
49,"Чи вважаєте Ви освітню програму, за якою навчаєтеся, актуальною, затребуваною, т",Скоріше так,5
49,"Чи вважаєте Ви освітню програму, за якою навчаєтеся, актуальною, затребуваною, т",Скоріше ні,4
49,"Чи вважаєте Ви освітню програму, за якою навчаєтеся, актуальною, затребуваною, т",Ні,4
49,"Чи вважаєте Ви освітню програму, за якою навчаєтеся, актуальною, затребуваною, т",Важко відповісти,4
