case_id,institution,program_name,degree_level,cluster,num_courses
10039,"Київський національний університет технологій та дизайнуІдентифікаційний код ЗВО02070890ПІБ керівника ЗВООльшанська Олександра ВолодимирівнаПосилання на офіційний веб-сайт ЗВОknutd.edu.uaПосилання на інформацію про ЗВО (ВСП ЗВО) у Реєстрі суб’єктів освітньої діяльності ЄДЕБО ЗВО є вищим військовим навчальним закладом (закладом вищої освіти із специфічними умовами навчання) Загальна інформація про освітню програму, яка подається на акредитаціюID освітньої програми в ЄДЕБО7487748874897490749174929030913391929193919493639741985098519852991810024100251023110232102331042510426106451064610762107631076410765107661076710972109731097411046110471104811049110501111511116112071120811218112931129411295113821138311384113851138611535115361153711612116131161411615116521175011751117521183911840118411186811869118701192411925119261201012011121691217012171124911253412535129111292213073132651338413749139421420314294142951429614360147691482314876149511501215069152641526515339154721576715853158731587416031162091630716315165851658616651166881675716996173421740917421174781760517620176271773217772178031780417806178091781017811178131781417815178491838918461186851869418700194451948819489198541985719859198601987119874199412011820253203062071320714213212132221438220812208222083226562380623849238502387823995240302405124096241262412724189246792468024681246822478524786247872494124942268072680827369283982930529307315413154231543315443154631562319283195332060320613268134571353503535635365353663567235673356743567535676356773583236649374723747537477374783747937480374813748237483374843748537486374873748839440401284016840169401704878249860507625107751078510795108051081510825108351085510875148252284527625276452960529615302753068531255313153133531345313553200532315323953478535475357653577535795359953600536755371056026560275612456180562805628156304564085643457621587085871258713587155871658766591746066260664606726075060751607526075360754607556075660757607586075960760607616080460806608996098361170611716177261801618826211063292648096486364864648956495164996650246504565137Повна назва ОПДизайн середовищаРеквізити рішення про ліцензування спеціальності на відповідному рівні вищої освітиСертифікат про акредитацію освітньої програми - 8455, дійсний до 01.07.2029Рівень вищої освітиБакалаврГалузь знань02 Культура і мистецтвоСпеціальність022 ДизайнСпеціалізація022.03 Дизайн середовищаТип освітньої програми *Освітньо-професійнаОсвітньо-науковаОсвітньо-творчаОсвітняВступ на освітню програму здійснюється на основі ступеня (рівня) * Молодший бакалавр x ОКР «молодший спеціаліст» x Повна загальна середня освіта x Фаховий молодший бакалавр xПовна загальна середня освітаФаховий молодший бакалаврОКР «молодший спеціаліст»Молодший бакалаврбакалаврМагістр (ОКР «спеціаліст»)Форми здобуття освіти на ОПТермін навчання заочна  3 р. 10 м.  очна денна  3 р. 10 м. Структурний підрозділ (кафедра або інший підрозділ), відповідальний за реалізацію ОП *Інші навчальні структурні підрозділи (кафедра або інші підрозділи), залучені до реалізації ОПМісце (адреса) провадження освітньої діяльності за ОП * Освітня програма передбачає присвоєння професійної кваліфікації Професійна кваліфікація, яка присвоюється за ОП (за наявності) *Мова (мови) викладання * Українська  Англійська  Російська Загальні відомості про ОП, історію її розроблення та впровадженняЗагальні відомостіІнформація про контингент здобувачів вищої освіти на ОП станом на 1 жовтня поточного навчального року у розрізі форм здобуття освіти та ліцензійний обсяг за ОП 1 курс 2 курс 3 курс 4 курсНавч. рік 2023 - 2024  2022 - 2023  2021 - 2022  2020 - 2021 Ліцензійний обсягКонтингенточна денназаочна З них іноземців: очна денназаочнаІнформація про інші освітні програми ЗВО за відповідною спеціальністю: Інформація про освітні програмипочатковий рівень (короткий цикл) вищої освіти-перший (бакалаврський) рівень11115 за видами, 15853 за видами, 18700 Дизайн (за видами), 20118 Дизайн (за видами), 24679 Дизайн (за видами), 24680 Дизайн (за видами), 24681 Дизайн (за видами), 24682 Дизайн (за видами), 24785 Дизайн (за видами), 24786 Дизайн (за видами), 24787 Дизайн (за видами), 35356 Графічний дизайн, 50762 Дизайн, 56280 Графічний дизайн, 56281 Дизайн середовища, 56304 Дизайн одягу, 56408 Мультимедійний дизайн, 61801 Графічний дизайндругий (магістерський) рівень11612 за видами, 19854 Дизайн (за видами), 61170 Дизайн одягу, 61171 Дизайн середовищатретій (освітньо-науковий/освітньо-творчий) рівень37472 ДизайнІнформація про площі приміщень ЗВО (у разі реалізації ОП у ЗВО, який не є ВСП – зазначається без урахування ВСП; у разі реалізації ОП у ВСП – зазначається лише щодо ВСП), станом на момент подання відомостей про самооцінювання, кв. м.Загальна площа приміщеньУсі приміщення ЗВО *Власні приміщення ЗВО (на праві власності, господарського відання або оперативного управління) *Приміщення, які використовуються на іншому праві, аніж право власності, господарського відання або оперативного управління (оренда, безоплатне користування тощо) *Приміщення, здані в оренду *Навчальна площа приміщеньУсі приміщення ЗВО *Власні приміщення ЗВО (на праві власності, господарського відання або оперативного управління) *Приміщення, які використовуються на іншому праві, аніж право власності, господарського відання або оперативного управління (оренда, безоплатне користування тощо) *Приміщення, здані в оренду *Поля для завантаження загальних документівОсвітня програма *Оберіть файлfd_022_bds_2023_1.pdf Переглянути Навчальний план за ОП *Оберіть файлfd_022_bds_2023_np.pdf Переглянути Матеріали від ЗВО: пропозиції та рекомендації від роботодавців, таблиця відповідності публікацій наукових керівників напрямам (тематикам) досліджень аспірантів (для ОП третього рівня освіти)Оберіть файлРец_Семироз.pdf Переглянути Оберіть файлРец_Ненов.pdf Переглянути Оберіть файлРец_Філунець.pdf Переглянути Інформація про наявність в акредитаційній справі інформації з обмеженим доступом Справа містить інформацію з обмеженим доступом Зазначте, які частини відомостей про самооцінювання містять інформацію з обмеженим доступом, до якого виду інформації з обмеженим доступом вона належить та на якій підставі (із зазначенням відповідних норм законодавства та/або реквізитів рішення про обмеження доступу до інформації) Частина відомостей про самооцінювання, яка містить інформацію з обмеженим доступом*  Вид інформації з обмеженим доступом*  Опис інформації, доступ до якої обмежений*  Підстава для обмеження доступу до інформації* Частина відомостей про самооцінювання, яка містить інформацію з обмеженим доступом*Вид інформації з обмеженим доступом*таємнаслужбоваконфіденційнаОпис інформації, доступ до якої обмежений*Підстава для обмеження доступу до інформації* Назад  Вперед",Документи акредитаційної справи,bachelor,0,23
10076,"Київський національний університет технологій та дизайнуІдентифікаційний код ЗВО02070890ПІБ керівника ЗВООльшанська Олександра ВолодимирівнаПосилання на офіційний веб-сайт ЗВОknutd.edu.uaПосилання на інформацію про ЗВО (ВСП ЗВО) у Реєстрі суб’єктів освітньої діяльності ЄДЕБО ЗВО є вищим військовим навчальним закладом (закладом вищої освіти із специфічними умовами навчання) Загальна інформація про освітню програму, яка подається на акредитаціюID освітньої програми в ЄДЕБО7487748874897490749174929030913391929193919493639741985098519852991810024100251023110232102331042510426106451064610762107631076410765107661076710972109731097411046110471104811049110501111511116112071120811218112931129411295113821138311384113851138611535115361153711612116131161411615116521175011751117521183911840118411186811869118701192411925119261201012011121691217012171124911253412535129111292213073132651338413749139421420314294142951429614360147691482314876149511501215069152641526515339154721576715853158731587416031162091630716315165851658616651166881675716996173421740917421174781760517620176271773217772178031780417806178091781017811178131781417815178491838918461186851869418700194451948819489198541985719859198601987119874199412011820253203062071320714213212132221438220812208222083226562380623849238502387823995240302405124096241262412724189246792468024681246822478524786247872494124942268072680827369283982930529307315413154231543315443154631562319283195332060320613268134571353503535635365353663567235673356743567535676356773583236649374723747537477374783747937480374813748237483374843748537486374873748839440401284016840169401704878249860507625107751078510795108051081510825108351085510875148252284527625276452960529615302753068531255313153133531345313553200532315323953478535475357653577535795359953600536755371056026560275612456180562805628156304564085643457621587085871258713587155871658766591746066260664606726075060751607526075360754607556075660757607586075960760607616080460806608996098361170611716177261801618826211063292648096486364864648956495164996650246504565137Повна назва ОПДизайн одягуРеквізити рішення про ліцензування спеціальності на відповідному рівні вищої освітиСертифікат про акредитацію освітньої програми - 8454, дійсний до 01.07.2029Рівень вищої освітиБакалаврГалузь знань02 Культура і мистецтвоСпеціальність022 ДизайнСпеціалізація022.02 Дизайн одягу (взуття)Тип освітньої програми *Освітньо-професійнаОсвітньо-науковаОсвітньо-творчаОсвітняВступ на освітню програму здійснюється на основі ступеня (рівня) * Молодший бакалавр x ОКР «молодший спеціаліст» x Повна загальна середня освіта x Фаховий молодший бакалавр xПовна загальна середня освітаФаховий молодший бакалаврОКР «молодший спеціаліст»Молодший бакалаврбакалаврМагістр (ОКР «спеціаліст»)Форми здобуття освіти на ОПТермін навчання заочна  3 р. 10 м.  очна денна  3 р. 10 м. Структурний підрозділ (кафедра або інший підрозділ), відповідальний за реалізацію ОП *Інші навчальні структурні підрозділи (кафедра або інші підрозділи), залучені до реалізації ОПМісце (адреса) провадження освітньої діяльності за ОП * Освітня програма передбачає присвоєння професійної кваліфікації Професійна кваліфікація, яка присвоюється за ОП (за наявності) *Мова (мови) викладання * Українська  Англійська  Російська Загальні відомості про ОП, історію її розроблення та впровадженняЗагальні відомостіІнформація про контингент здобувачів вищої освіти на ОП станом на 1 жовтня поточного навчального року у розрізі форм здобуття освіти та ліцензійний обсяг за ОП 1 курс 2 курс 3 курс 4 курсНавч. рік 2023 - 2024  2022 - 2023  2021 - 2022  2020 - 2021 Ліцензійний обсягКонтингенточна денназаочна З них іноземців: очна денназаочнаІнформація про інші освітні програми ЗВО за відповідною спеціальністю: Інформація про освітні програмипочатковий рівень (короткий цикл) вищої освіти-перший (бакалаврський) рівень11115 за видами, 15853 за видами, 18700 Дизайн (за видами), 20118 Дизайн (за видами), 24679 Дизайн (за видами), 24680 Дизайн (за видами), 24681 Дизайн (за видами), 24682 Дизайн (за видами), 24785 Дизайн (за видами), 24786 Дизайн (за видами), 24787 Дизайн (за видами), 35356 Графічний дизайн, 50762 Дизайн, 56280 Графічний дизайн, 56281 Дизайн середовища, 56304 Дизайн одягу, 56408 Мультимедійний дизайн, 61801 Графічний дизайндругий (магістерський) рівень11612 за видами, 19854 Дизайн (за видами), 61170 Дизайн одягу, 61171 Дизайн середовищатретій (освітньо-науковий/освітньо-творчий) рівень37472 ДизайнІнформація про площі приміщень ЗВО (у разі реалізації ОП у ЗВО, який не є ВСП – зазначається без урахування ВСП; у разі реалізації ОП у ВСП – зазначається лише щодо ВСП), станом на момент подання відомостей про самооцінювання, кв. м.Загальна площа приміщеньУсі приміщення ЗВО *Власні приміщення ЗВО (на праві власності, господарського відання або оперативного управління) *Приміщення, які використовуються на іншому праві, аніж право власності, господарського відання або оперативного управління (оренда, безоплатне користування тощо) *Приміщення, здані в оренду *Навчальна площа приміщеньУсі приміщення ЗВО *Власні приміщення ЗВО (на праві власності, господарського відання або оперативного управління) *Приміщення, які використовуються на іншому праві, аніж право власності, господарського відання або оперативного управління (оренда, безоплатне користування тощо) *Приміщення, здані в оренду *Поля для завантаження загальних документівОсвітня програма *Оберіть файлОП Дизайн одягу.pdf Переглянути Навчальний план за ОП *Оберіть файлНП Дизайн одягу.pdf Переглянути Матеріали від ЗВО: пропозиції та рекомендації від роботодавців, таблиця відповідності публікацій наукових керівників напрямам (тематикам) досліджень аспірантів (для ОП третього рівня освіти)Оберіть файлРецензія1_БДО022_2022.pdf Переглянути Оберіть файлРецензія5_БДО022_2022.pdf Переглянути Оберіть файлРецензія4_БДО022_2022.pdf Переглянути Оберіть файлРецензія3_БДО022_2022.pdf Переглянути Оберіть файлРецензія2_БДО022_2022.pdf Переглянути Інформація про наявність в акредитаційній справі інформації з обмеженим доступом Справа містить інформацію з обмеженим доступом Зазначте, які частини відомостей про самооцінювання містять інформацію з обмеженим доступом, до якого виду інформації з обмеженим доступом вона належить та на якій підставі (із зазначенням відповідних норм законодавства та/або реквізитів рішення про обмеження доступу до інформації) Частина відомостей про самооцінювання, яка містить інформацію з обмеженим доступом*  Вид інформації з обмеженим доступом*  Опис інформації, доступ до якої обмежений*  Підстава для обмеження доступу до інформації* Частина відомостей про самооцінювання, яка містить інформацію з обмеженим доступом*Вид інформації з обмеженим доступом*таємнаслужбоваконфіденційнаОпис інформації, доступ до якої обмежений*Підстава для обмеження доступу до інформації* Назад  Вперед",Документи акредитаційної справи,bachelor,0,23
10159,"Приватний вищий навчальний заклад ""Український гуманітарний інститут""Ідентифікаційний код ЗВО30366752ПІБ керівника ЗВОШтанько Людмила ОлександрівнаПосилання на офіційний веб-сайт ЗВОwww.ugi.edu.uaПосилання на інформацію про ЗВО (ВСП ЗВО) у Реєстрі суб’єктів освітньої діяльності ЄДЕБО ЗВО є вищим військовим навчальним закладом (закладом вищої освіти із специфічними умовами навчання) Загальна інформація про освітню програму, яка подається на акредитаціюID освітньої програми в ЄДЕБО13227137051493515726172502013735107356273562835738517655190951910519115192551926519555225352254522555225652257522585225952260608696090762036623286237787779Повна назва ОПГрафічний дизайнРеквізити рішення про ліцензування спеціальності на відповідному рівні вищої освітиСертифікат про акредитацію освітньої програми - 13721, дійсний до 10.06.2026Рівень вищої освітиБакалаврГалузь знань02 Культура і мистецтвоСпеціальність022 ДизайнСпеціалізація022.01 Графічний дизайнТип освітньої програми *Освітньо-професійнаОсвітньо-науковаОсвітньо-творчаОсвітняВступ на освітню програму здійснюється на основі ступеня (рівня) * ОКР «молодший спеціаліст» x Фаховий молодший бакалавр x Магістр (ОКР «спеціаліст») x Повна загальна середня освіта x бакалавр x Молодший бакалавр xПовна загальна середня освітаФаховий молодший бакалаврОКР «молодший спеціаліст»Молодший бакалаврбакалаврМагістр (ОКР «спеціаліст»)Форми здобуття освіти на ОПТермін навчання очна денна  3 р. 10 м. Структурний підрозділ (кафедра або інший підрозділ), відповідальний за реалізацію ОП *Інші навчальні структурні підрозділи (кафедра або інші підрозділи), залучені до реалізації ОПМісце (адреса) провадження освітньої діяльності за ОП * Освітня програма передбачає присвоєння професійної кваліфікації Професійна кваліфікація, яка присвоюється за ОП (за наявності) *Мова (мови) викладання * Українська  Англійська  Російська Загальні відомості про ОП, історію її розроблення та впровадженняЗагальні відомостіІнформація про контингент здобувачів вищої освіти на ОП станом на 1 жовтня поточного навчального року у розрізі форм здобуття освіти та ліцензійний обсяг за ОП 1 курс 2 курс 3 курс 4 курсНавч. рік 2023 - 2024  2022 - 2023  2021 - 2022  2020 - 2021 Ліцензійний обсягКонтингенточна денна З них іноземців: очна деннаІнформація про інші освітні програми ЗВО за відповідною спеціальністю: Інформація про освітні програмипочатковий рівень (короткий цикл) вищої освіти-перший (бакалаврський) рівень51909 Графічний дизайндругий (магістерський) рівень62377 Графічний дизайнтретій (освітньо-науковий/освітньо-творчий) рівень-Інформація про площі приміщень ЗВО (у разі реалізації ОП у ЗВО, який не є ВСП – зазначається без урахування ВСП; у разі реалізації ОП у ВСП – зазначається лише щодо ВСП), станом на момент подання відомостей про самооцінювання, кв. м.Загальна площа приміщеньУсі приміщення ЗВО *Власні приміщення ЗВО (на праві власності, господарського відання або оперативного управління) *Приміщення, які використовуються на іншому праві, аніж право власності, господарського відання або оперативного управління (оренда, безоплатне користування тощо) *Приміщення, здані в оренду *Навчальна площа приміщеньУсі приміщення ЗВО *Власні приміщення ЗВО (на праві власності, господарського відання або оперативного управління) *Приміщення, які використовуються на іншому праві, аніж право власності, господарського відання або оперативного управління (оренда, безоплатне користування тощо) *Приміщення, здані в оренду *Поля для завантаження загальних документівОсвітня програма *Оберіть файлОПП Дизайн – 2021.pdf Переглянути Навчальний план за ОП *Оберіть файлНП Дизайн - 2021.pdf Переглянути Матеріали від ЗВО: пропозиції та рекомендації від роботодавців, таблиця відповідності публікацій наукових керівників напрямам (тематикам) досліджень аспірантів (для ОП третього рівня освіти)Оберіть файлРЕЦЕНЗІЯ НА ОПП Дизайн_КНУТД.pdf Переглянути Оберіть файлРецензія_2_ОПП із НАОМІ.pdf Переглянути Інформація про наявність в акредитаційній справі інформації з обмеженим доступом Справа містить інформацію з обмеженим доступом Зазначте, які частини відомостей про самооцінювання містять інформацію з обмеженим доступом, до якого виду інформації з обмеженим доступом вона належить та на якій підставі (із зазначенням відповідних норм законодавства та/або реквізитів рішення про обмеження доступу до інформації) Частина відомостей про самооцінювання, яка містить інформацію з обмеженим доступом*  Вид інформації з обмеженим доступом*  Опис інформації, доступ до якої обмежений*  Підстава для обмеження доступу до інформації* Частина відомостей про самооцінювання, яка містить інформацію з обмеженим доступом*Вид інформації з обмеженим доступом*таємнаслужбоваконфіденційнаОпис інформації, доступ до якої обмежений*Підстава для обмеження доступу до інформації* Назад  Вперед",Документи акредитаційної справи,bachelor,2,34
10575,"Київський національний університет будівництва і архітектуриІдентифікаційний код ЗВО02070909ПІБ керівника ЗВОДніпров Олексій СергійовичПосилання на офіційний веб-сайт ЗВОhttp://www.knuba.edu.uaПосилання на інформацію про ЗВО (ВСП ЗВО) у Реєстрі суб’єктів освітньої діяльності ЄДЕБО ЗВО є вищим військовим навчальним закладом (закладом вищої освіти із специфічними умовами навчання) Загальна інформація про освітню програму, яка подається на акредитаціюID освітньої програми в ЄДЕБО4262426347414742474348144839484048414842499249935058505950605061519151925193527952805281528253695414544954505451552055215783578457855859586058615924592559265927596859696014601560166057605860596060619665316656665767026783678467856891714871497752775377827783794279438589859085918592859385948595940594069407940894099410998810011122591267912715127161310913199133491440614566145671459614655147451501315125151321520915223152351523615303153401541115506155141553015627156281563815655157681582715844158661594016047161111611716123161881625316254162951630816625167481729117484182751827718281182851828818292182941829818302183081832818336183401834318346183491880819061190621906421678217332253424347244382443924571245752474524747247602484525270252712527225283253452556525593255942559525596255972562825629256302563125632257582610626372265942659526798268002680126938270552707327074280912809228093289393062430661306773067930680306833068430686307223072631020310243103331036310373103831039310403104131052318433261432615326923269633802341463425634360348643488534887350783513835371355933559435596355973559835798365883661636617366183666438866388673886838869388703887138872388733887438875388763887738878388793888038881388823970539706398133983140056400574006340067400694007040094400954041140412404134041440500405364055840633406354066340701407054617946189465924818248183493014934649686496875045950460505425063850640506415064250682510125111352244522775230952675526925376154436553535591756648576515766757669596755974559746597475979359794597955979659797598075980859809619076190862702632476371164118646296463164634Повна назва ОПІнтер’єр та обладнанняРеквізити рішення про ліцензування спеціальності на відповідному рівні вищої освітиСертифікат про акредитацію відсутнійРівень вищої освітиБакалаврГалузь знань02 Культура і мистецтвоСпеціальність022 ДизайнСпеціалізація022.04 Промисловий дизайнТип освітньої програми *Освітньо-професійнаОсвітньо-науковаОсвітньо-творчаОсвітняВступ на освітню програму здійснюється на основі ступеня (рівня) * Фаховий молодший бакалавр x ОКР «молодший спеціаліст» x Повна загальна середня освіта xПовна загальна середня освітаФаховий молодший бакалаврОКР «молодший спеціаліст»Молодший бакалаврбакалаврМагістр (ОКР «спеціаліст»)Форми здобуття освіти на ОПТермін навчання очна денна  3 р. 10 м. Структурний підрозділ (кафедра або інший підрозділ), відповідальний за реалізацію ОП *Інші навчальні структурні підрозділи (кафедра або інші підрозділи), залучені до реалізації ОПМісце (адреса) провадження освітньої діяльності за ОП * Освітня програма передбачає присвоєння професійної кваліфікації Професійна кваліфікація, яка присвоюється за ОП (за наявності) *Мова (мови) викладання * Українська  Англійська  Російська Загальні відомості про ОП, історію її розроблення та впровадженняЗагальні відомостіІнформація про контингент здобувачів вищої освіти на ОП станом на 1 жовтня поточного навчального року у розрізі форм здобуття освіти та ліцензійний обсяг за ОП 1 курс 2 курс 3 курс 4 курсНавч. рік 2023 - 2024  2022 - 2023  2021 - 2022  2020 - 2021 Ліцензійний обсягКонтингенточна денна З них іноземців: очна деннаІнформація про інші освітні програми ЗВО за відповідною спеціальністю: Інформація про освітні програмипочатковий рівень (короткий цикл) вищої освіти-перший (бакалаврський) рівень7753 Дизайн, 24347 Промисловий дизайн, 28093 Помисловий дизайн, 32615 Інтер’єр та обладнання, 34146 Дизайн, 40635 Інтер'єр та обладнання, 46189 Дизайн середовища, 51012 Промисловий дизайн, 59675 Дизайн, 63711 Інтерєр і обладнання, 64634 Інтер'єр та обладнаннядругий (магістерський) рівень30661 Промисловий дизайн, 32614 Середовищний і промисловий дизайнтретій (освітньо-науковий/освітньо-творчий) рівень38866 ДизайнІнформація про площі приміщень ЗВО (у разі реалізації ОП у ЗВО, який не є ВСП – зазначається без урахування ВСП; у разі реалізації ОП у ВСП – зазначається лише щодо ВСП), станом на момент подання відомостей про самооцінювання, кв. м.Загальна площа приміщеньУсі приміщення ЗВО *Власні приміщення ЗВО (на праві власності, господарського відання або оперативного управління) *Приміщення, які використовуються на іншому праві, аніж право власності, господарського відання або оперативного управління (оренда, безоплатне користування тощо) *Приміщення, здані в оренду *Навчальна площа приміщеньУсі приміщення ЗВО *Власні приміщення ЗВО (на праві власності, господарського відання або оперативного управління) *Приміщення, які використовуються на іншому праві, аніж право власності, господарського відання або оперативного управління (оренда, безоплатне користування тощо) *Приміщення, здані в оренду *Поля для завантаження загальних документівОсвітня програма *Оберіть файлОПП_ДН_БАК_2023_24_end.pdf Переглянути Навчальний план за ОП *Оберіть файл!!022_НП_Бакалавр_Дизайн_2023-2027-signed.pdf Переглянути Матеріали від ЗВО: пропозиції та рекомендації від роботодавців, таблиця відповідності публікацій наукових керівників напрямам (тематикам) досліджень аспірантів (для ОП третього рівня освіти)Оберіть файлРецензія Яковлєв.pdf Переглянути Оберіть файлРецензія_Академія_Бойчука.pdf Переглянути Оберіть файлРецензія_НАУ.pdf Переглянути Оберіть файлРецензія_Вудсистем.pdf Переглянути Оберіть файлНовас_Меблеві технології.pdf Переглянути Інформація про наявність в акредитаційній справі інформації з обмеженим доступом Справа містить інформацію з обмеженим доступом Зазначте, які частини відомостей про самооцінювання містять інформацію з обмеженим доступом, до якого виду інформації з обмеженим доступом вона належить та на якій підставі (із зазначенням відповідних норм законодавства та/або реквізитів рішення про обмеження доступу до інформації) Частина відомостей про самооцінювання, яка містить інформацію з обмеженим доступом*  Вид інформації з обмеженим доступом*  Опис інформації, доступ до якої обмежений*  Підстава для обмеження доступу до інформації* Частина відомостей про самооцінювання, яка містить інформацію з обмеженим доступом*Вид інформації з обмеженим доступом*таємнаслужбоваконфіденційнаОпис інформації, доступ до якої обмежений*Підстава для обмеження доступу до інформації* Назад  Вперед",Документи акредитаційної справи,bachelor,2,31
10640,"Київська державна академія декоративно-прикладного мистецтва і дизайну імені Михайла БойчукаІдентифікаційний код ЗВО21598958ПІБ керівника ЗВООсадча Олена АнатоліївнаПосилання на офіційний веб-сайт ЗВОwww.kdidpmid.edu.uaПосилання на інформацію про ЗВО (ВСП ЗВО) у Реєстрі суб’єктів освітньої діяльності ЄДЕБО ЗВО є вищим військовим навчальним закладом (закладом вищої освіти із специфічними умовами навчання) Загальна інформація про освітню програму, яка подається на акредитаціюID освітньої програми в ЄДЕБО40104264426551945284541554165452552455255786586458715872619865326533715177557756859894141643220946257312573225733257342573525736257372573827217296083041830419304203042130433339883400734011340144638351493576915777957821578255783557870578915791259625Повна назва ОПДизайнРеквізити рішення про ліцензування спеціальності на відповідному рівні вищої освітиСертифікат про акредитацію освітньої програми - 8456, дійсний до 01.07.2029Рівень вищої освітиМагістрГалузь знань02 Культура і мистецтвоСпеціальність022 ДизайнСпеціалізація-Тип освітньої програмиОсвітньо-професійнаТип освітньої програми *Освітньо-професійнаОсвітньо-науковаОсвітньо-творчаОсвітняВступ на освітню програму здійснюється на основі ступеня (рівня) * бакалавр xПовна загальна середня освітаФаховий молодший бакалаврОКР «молодший спеціаліст»Молодший бакалаврбакалаврМагістр (ОКР «спеціаліст»)Форми здобуття освіти на ОПТермін навчання очна денна  1 р. 4 м. Структурний підрозділ (кафедра або інший підрозділ), відповідальний за реалізацію ОП *Інші навчальні структурні підрозділи (кафедра або інші підрозділи), залучені до реалізації ОПМісце (адреса) провадження освітньої діяльності за ОП * Освітня програма передбачає присвоєння професійної кваліфікації Професійна кваліфікація, яка присвоюється за ОП (за наявності) *Мова (мови) викладання * Українська  Англійська  Російська Загальні відомості про ОП, історію її розроблення та впровадженняЗагальні відомостіІнформація про контингент здобувачів вищої освіти на ОП станом на 1 жовтня поточного навчального року у розрізі форм здобуття освіти та ліцензійний обсяг за ОП 1 курс 2 курсНавч. рік 2023 - 2024  2022 - 2023 Ліцензійний обсягКонтингенточна денна З них іноземців: очна деннаІнформація про інші освітні програми ЗВО за відповідною спеціальністю: Інформація про освітні програмипочатковий рівень (короткий цикл) вищої освіти-перший (бакалаврський) рівень5452 Графiчний дизайн, 5786 дизайн середовища, 5871 промисловий дизайн, 6533 Графічний дизайн, 25731 Дизайн (за видами), 25732 Дизайн (за видами), 25733 Дизайн (за видами), 33988 Дизайн, 34007 Дизайн, 34011 Дизайн, 46383 Дизайн, 57779 Графічний дизайн, 57891 Промисловий дизайн, 57912 Дизайн середовищадругий (магістерський) рівень25734 Дизайн (за видами), 25735 Дизайн (за видами), 25736 Дизайн (за видами), 29608 Дизайн (за видами), 30418 Дизайн, 30419 Дизайн, 30420 Дизайн, 30433 Дизайнтретій (освітньо-науковий/освітньо-творчий) рівень59625 ДизайнІнформація про площі приміщень ЗВО (у разі реалізації ОП у ЗВО, який не є ВСП – зазначається без урахування ВСП; у разі реалізації ОП у ВСП – зазначається лише щодо ВСП), станом на момент подання відомостей про самооцінювання, кв. м.Загальна площа приміщеньУсі приміщення ЗВО *Власні приміщення ЗВО (на праві власності, господарського відання або оперативного управління) *Приміщення, які використовуються на іншому праві, аніж право власності, господарського відання або оперативного управління (оренда, безоплатне користування тощо) *Приміщення, здані в оренду *Навчальна площа приміщеньУсі приміщення ЗВО *Власні приміщення ЗВО (на праві власності, господарського відання або оперативного управління) *Приміщення, які використовуються на іншому праві, аніж право власності, господарського відання або оперативного управління (оренда, безоплатне користування тощо) *Приміщення, здані в оренду *Поля для завантаження загальних документівОсвітня програма *Оберіть файлonovlenyj-variant-opp-magistratura-dyzajn-1-1.pdf Переглянути Навчальний план за ОП *Оберіть файлmagistr-dyzajn-13_12_23-yedynyj-bez-fahu.pdf Переглянути Матеріали від ЗВО: пропозиції та рекомендації від роботодавців, таблиця відповідності публікацій наукових керівників напрямам (тематикам) досліджень аспірантів (для ОП третього рівня освіти)Оберіть файлreczenziya-2-1.pdf Переглянути Оберіть файлreczenziya-dyzajn-tretyak-yuliyi-viktorivny.pdf Переглянути Оберіть файлreczenziya-na-osvitno-profesijnu-programu-dyzajn-myhajlyuk-olgy-yuriyivny.pdf Переглянути Оберіть файлreczenziya_dyzajn_streho.pdf Переглянути Інформація про наявність в акредитаційній справі інформації з обмеженим доступом Справа містить інформацію з обмеженим доступом Зазначте, які частини відомостей про самооцінювання містять інформацію з обмеженим доступом, до якого виду інформації з обмеженим доступом вона належить та на якій підставі (із зазначенням відповідних норм законодавства та/або реквізитів рішення про обмеження доступу до інформації) Частина відомостей про самооцінювання, яка містить інформацію з обмеженим доступом*  Вид інформації з обмеженим доступом*  Опис інформації, доступ до якої обмежений*  Підстава для обмеження доступу до інформації* Частина відомостей про самооцінювання, яка містить інформацію з обмеженим доступом*Вид інформації з обмеженим доступом*таємнаслужбоваконфіденційнаОпис інформації, доступ до якої обмежений*Підстава для обмеження доступу до інформації* Назад  Вперед",Документи акредитаційної справи,master,0,9
