file,directory,program,doc_type,text_length,ikk_relevance,info_analytical_total,communicative_total,technological_total,reflexive_total,total_ikk_keywords,top_keywords
Програма Історя граф.дизайну.pdf,ГД_програми,ГД,program,23248,high,19,6,5,21,51,пошук(6); ШІ(5); інтернет(2); соціальн(3); комунікацій(1); презентац(1); технолог(5); етичн(14); етик(5); авторськ(1)
Програма Додрукова підготовка поліграфічних видань.pdf,ГД_програми,ГД,program,20652,high,23,1,84,3,111,інформацій(5); інформаційн(5); електронн(5); візуалізац(1); технолог(26); верст(21); програмн(12); етичн(3)
Програма Екологічний дизайн.pdf,ГД_програми,ГД,program,17097,high,14,3,7,13,37,пошук(4); інформацій(2); інформаційн(2); соціальн(2); презентац(1); технолог(5); мультимедій(1); моделюван(1); авторськ(6); етичн(5); самоаналіз(1)
Програма Комплексне проєктування ДГ.pdf,ГД_програми,ГД,program,30075,high,92,8,10,10,120,веб(30); інформацій(27); інформаційн(27); візуальн(5); комунікацій(1); презентац(1); технолог(4); моделюван(3); програмн(1); етичн(9); авторськ(1)
Програма Композиція в рекламі.pdf,ГД_програми,ГД,program,19977,high,9,5,6,26,46,пошук(6); інформацій(1); інформаційн(1); портфоліо(2); соціальн(2); комунікат(1); технолог(2); софт(1); Adobe(1); етичн(26)
Програма Мультимедійний дизайн.pdf,ГД_програми,ГД,program,19529,high,38,8,102,5,153,цифров(10); інформацій(8); інформаційн(8); презентац(3); візуальн(3); комунікацій(1); відео(31); мультимедій(18); комп'ютер(13); етичн(3); рефлекс(1); крити(1)
Програма Основи зовнішньої реклами.pdf,ГД_програми,ГД,program,27317,high,15,4,6,35,60,пошук(11); інформацій(1); інформаційн(1); соціальн(3); комунікат(1); технолог(4); програмн(1); 3D(1); етичн(28); етик(7)
Програма Проектна графіка.pdf,ГД_програми,ГД,program,18554,high,15,3,13,2,33,пошук(7); інформацій(2); інформаційн(2); візуальн(2); соціальн(1); технолог(5); моделюван(5); комп'ютер(3); етичн(2)
Програма Проектування упаковки.pdf,ГД_програми,ГД,program,19699,high,25,0,46,4,75,інформацій(8); інформаційн(8); електронн(4); технолог(12); програмн(9); комп'ютер(5); етичн(4)
Програма Сучасні поліграфічні технології.pdf,ГД_програми,ГД,program,20295,high,13,2,33,5,53,інформацій(4); інформаційн(4); цифров(3); презентац(1); візуальн(1); технолог(20); комп'ютер(6); програмн(5); етичн(5)
Програма Теор. та мет. проек. в граф дизайні.pdf,ГД_програми,ГД,program,22692,high,28,3,16,15,62,пошук(8); інформацій(7); інформаційн(7); комунікацій(1); візуальн(1); візуалізац(1); технолог(12); комп'ютер(1); AutoCAD(1); етичн(12); рефлекс(1); крити(1)
